image_path	error_labels
sample_0	TipSideRed,Spot,Crack,Toothmark
sample_1	TonguePale,Crack
sample_2	Toothmark,FurYellow
sample_3	Ecchymosis,Toothmark
sample_4	Ecchymosis,FurYellow
sample_5	Ecchymosis,Toothmark
sample_6	TonguePale,Spot,Ecchymosis,Toothmark
sample_7	TipSideRed,Spot,Ecchymosis,FurYellow
sample_8	TonguePale,Ecchymosis
sample_9	Spot
sample_10	TonguePale,Ecchymosis,Toothmark
sample_11	TonguePale,Spot,Ecchymosis
sample_12	Spot,Toothmark,FurYellow
sample_13	TonguePale,TipSideRed,Ecchymosis,FurThick
sample_14	TonguePale,Ecchymosis
sample_15	TipSideRed,Spot,Toothmark
sample_16	TipSideRed,Spot,Toothmark,FurYellow
sample_17	Spot,Toothmark,FurYellow
sample_18	TonguePale,Ecchymosis,Toothmark
sample_19	TonguePale,Spot,Toothmark,FurYellow
sample_20	FurYellow
sample_21	TipSideRed,Ecchymosis
sample_22	Ecchymosis,Toothmark,FurYellow
sample_23	TipSideRed,Spot,Ecchymosis
sample_24	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_25	Ecchymosis,Toothmark
sample_26	Crack,FurYellow
sample_27	TonguePale,Ecchymosis,Crack,Toothmark,FurYellow
sample_28	TonguePale,Ecchymosis,FurYellow
sample_29	Ecchymosis,Crack,FurYellow
sample_30	TonguePale,Ecchymosis
sample_31	TonguePale,Ecchymosis
sample_32	Ecchymosis
sample_33	TipSideRed,Ecchymosis,Crack,Toothmark
sample_34	Ecchymosis,Toothmark,FurYellow
sample_35	TonguePale,Ecchymosis
sample_36	Ecchymosis
sample_37	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_38	Ecchymosis,Toothmark
sample_39	TonguePale
sample_40	Ecchymosis,Toothmark
sample_41	TonguePale,Spot,Ecchymosis,Toothmark
sample_42	TonguePale,Spot,Ecchymosis
sample_43	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_44	TonguePale,Ecchymosis,FurYellow
sample_45	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_46	TonguePale
sample_47	TonguePale,Spot,Ecchymosis,Crack,Toothmark,FurThick
sample_48	Spot,Ecchymosis
sample_49	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_50	TonguePale,Ecchymosis,FurYellow
sample_51	Ecchymosis,Toothmark
sample_52	TipSideRed,Ecchymosis,Toothmark
sample_53	TonguePale,Spot,Ecchymosis,Toothmark
sample_54	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_55	TonguePale,Spot,FurYellow
sample_56	TonguePale,TipSideRed,FurYellow
sample_57	TonguePale,FurYellow
sample_58	Toothmark
sample_59	TonguePale,Spot,Ecchymosis,Toothmark
sample_60	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_61	TonguePale,Crack,Toothmark
sample_62	TonguePale,Crack,Toothmark,FurYellow
sample_63	Spot
sample_64	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_65	Ecchymosis
sample_66	TonguePale,TipSideRed,Ecchymosis,Toothmark,FurYellow
sample_67	TonguePale,Ecchymosis,Crack,Toothmark
sample_68	Ecchymosis,Crack
sample_69	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_70	TonguePale,Spot,Toothmark,FurYellow
sample_71	TonguePale,Toothmark,FurYellow
sample_72	Ecchymosis,FurYellow
sample_73	TonguePale,TipSideRed,Ecchymosis,Toothmark,FurYellow
sample_74	TipSideRed,Ecchymosis,FurYellow
sample_75	TipSideRed,Spot,Ecchymosis,Crack,Toothmark
sample_76	TipSideRed,Crack,Toothmark,FurYellow
sample_77	TonguePale,Ecchymosis,FurYellow
sample_78	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_79	Spot,Ecchymosis,Toothmark,FurYellow
sample_80	Spot,Ecchymosis,Toothmark,FurYellow
sample_81	TonguePale,Spot,Ecchymosis,Toothmark
sample_82	TonguePale,TipSideRed,Spot,Ecchymosis,Crack,Toothmark
sample_83	TipSideRed,Toothmark,FurYellow
sample_84	TonguePale,Ecchymosis,FurYellow
sample_86	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_87	TonguePale,Spot,Ecchymosis,Toothmark
sample_88	TipSideRed,Toothmark,FurYellow
sample_89	TipSideRed,Toothmark
sample_90	Ecchymosis
sample_91	Ecchymosis
sample_92	Spot
sample_93	TonguePale,Ecchymosis,FurYellow
sample_94	Ecchymosis,Toothmark
sample_95	TonguePale,Ecchymosis,Toothmark
sample_96	TipSideRed,Crack,Toothmark
sample_97	TonguePale,Ecchymosis,Toothmark
sample_98	TipSideRed,Spot,Crack,Toothmark
sample_99	TonguePale,Ecchymosis
sample_100	Spot,Ecchymosis,FurYellow
sample_101	Spot,Ecchymosis,FurYellow
sample_102	Ecchymosis,Toothmark,FurYellow
sample_103	TonguePale,Toothmark
sample_104	TonguePale,TipSideRed,Toothmark
sample_105	TonguePale,Spot,Ecchymosis,Crack,Toothmark,FurYellow
sample_106	TonguePale,Crack,FurYellow
sample_107	TonguePale,Spot,Toothmark,FurYellow
sample_108	TipSideRed,Crack,Toothmark
sample_109	FurYellow
sample_110	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_111	Crack,Toothmark
sample_112	Spot,Ecchymosis,Toothmark
sample_113	TonguePale,Ecchymosis,Toothmark
sample_114	Spot,Toothmark,FurYellow
sample_115	Spot,Toothmark
sample_116	TonguePale
sample_117	Spot,Toothmark
sample_118	TipSideRed,Spot,Toothmark,FurYellow
sample_119	TipSideRed,Spot,Toothmark
sample_120	TonguePale,FurYellow
sample_121	TonguePale,Ecchymosis,Toothmark
sample_122	Spot,Ecchymosis,Toothmark
sample_123	TipSideRed,Spot,Toothmark,FurYellow
sample_124	Spot,Ecchymosis
sample_125	Ecchymosis,Crack,Toothmark
sample_126	TipSideRed,Spot,Ecchymosis,Toothmark,FurThick,FurYellow
sample_127	TipSideRed,Ecchymosis,FurYellow
sample_128	Ecchymosis,Crack,FurThick
sample_129	TonguePale,TipSideRed,Ecchymosis,Crack,Toothmark
sample_130	TipSideRed,Spot,Ecchymosis,Toothmark,FurYellow
sample_131	Crack,Toothmark,FurYellow
sample_132	TonguePale,TipSideRed,Spot,Ecchymosis,Toothmark
sample_133	Spot,Ecchymosis,FurYellow
sample_134	TonguePale,TipSideRed,Spot,Toothmark,FurYellow
sample_135	TonguePale,TipSideRed,Ecchymosis,Crack
sample_136	Ecchymosis,FurYellow
sample_137	TipSideRed,Ecchymosis,Crack
sample_138	Ecchymosis,FurYellow
sample_139	TonguePale,TipSideRed,Ecchymosis
sample_140	Toothmark
sample_141	Spot,Ecchymosis,FurYellow
sample_142	Spot,Ecchymosis,Toothmark,FurYellow
sample_143	TonguePale,Spot,Toothmark,FurYellow
sample_144	Spot,Toothmark,FurYellow
sample_145	TipSideRed,Spot,Ecchymosis,Toothmark,FurYellow
sample_146	Spot,Toothmark,FurThick,FurYellow
sample_147	TonguePale,TipSideRed,Spot,Ecchymosis,FurThick
sample_148	TipSideRed,Spot,Toothmark,FurYellow
sample_149	TonguePale,Spot,Ecchymosis,Toothmark
sample_150	TonguePale,TipSideRed,Ecchymosis,Crack,Toothmark
sample_151	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_152	TipSideRed,Toothmark,FurYellow
sample_153	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_154	TonguePale,Ecchymosis,Toothmark
sample_155	Spot,FurYellow
sample_156	TonguePale,Spot,Toothmark
sample_157	TonguePale,TipSideRed,Spot,Ecchymosis,Crack,FurYellow
sample_158	TonguePale,TipSideRed,Ecchymosis,Crack,FurYellow
sample_159	TipSideRed
sample_160	TonguePale,Spot,FurYellow
sample_161	TonguePale,TipSideRed,Toothmark
sample_162	Ecchymosis
sample_163	TonguePale,TipSideRed,Spot,Ecchymosis,Toothmark
sample_164	TonguePale,TipSideRed,Ecchymosis
sample_165	TonguePale,Spot,Ecchymosis,FurYellow
