image_path	error_labels
sample_0	TipSideRed,Spot,Crack,Toothmark
sample_1	TonguePale,Crack
sample_2	Toothmark,FurYellow
sample_3	Toothmark,FurYellow
sample_5	Ecchymosis,Toothmark
sample_6	Spot,Toothmark,FurYellow
sample_7	TipSideRed,Spot
sample_8	TonguePale,Ecchymosis,FurYellow
sample_9	Spot
sample_10	TonguePale,Toothmark
sample_11	TonguePale,Spot,Ecchymosis
sample_12	Spot,Toothmark
sample_13	TonguePale,TipSideRed,Ecchymosis,FurThick,FurYellow
sample_14	FurYellow
sample_15	TonguePale,TipSideRed,Spot,Ecchymosis,Toothmark,FurYellow
sample_16	TipSideRed,Spot,Toothmark
sample_17	Spot,Toothmark
sample_18	TonguePale,Ecchymosis,Toothmark
sample_19	TonguePale
sample_20	TonguePale
sample_21	TonguePale,TipSideRed,Ecchymosis,FurYellow
sample_22	Toothmark
sample_23	TonguePale,TipSideRed,Spot
sample_24	TonguePale,Ecchymosis
sample_25	Toothmark
sample_26	Crack,FurYellow
sample_27	TonguePale,Crack,Toothmark,FurYellow
sample_29	Crack
sample_30	FurYellow
sample_31	TonguePale,Ecchymosis
sample_32	TonguePale
sample_33	TipSideRed,Ecchymosis,Crack
sample_34	Ecchymosis,Toothmark
sample_35	TonguePale,Ecchymosis
sample_36	TonguePale,Ecchymosis
sample_37	Toothmark,FurYellow
sample_39	TonguePale,Ecchymosis
sample_40	Toothmark,FurYellow
sample_41	TonguePale,Spot,Ecchymosis,Toothmark
sample_42	TonguePale,Spot,Ecchymosis
sample_43	TonguePale,Toothmark,FurYellow
sample_45	Toothmark
sample_46	TonguePale,FurYellow
sample_47	TonguePale,Spot,Crack,Toothmark,FurThick
sample_48	Spot,FurYellow
sample_49	Toothmark
sample_50	TonguePale,Spot,Toothmark
sample_51	Toothmark
sample_52	TonguePale,TipSideRed,Toothmark
sample_53	TonguePale,Spot,Ecchymosis,Toothmark
sample_54	Toothmark
sample_55	TonguePale,Spot,FurYellow
sample_56	TonguePale,TipSideRed
sample_57	Ecchymosis,FurYellow
sample_58	Ecchymosis,FurYellow
sample_59	TonguePale,Spot,Ecchymosis,Toothmark
sample_60	TonguePale,Ecchymosis
sample_61	Crack,Toothmark
sample_62	Crack,Toothmark
sample_63	Spot,FurYellow
sample_64	Toothmark
sample_65	TonguePale,Ecchymosis
sample_66	TonguePale,TipSideRed,Ecchymosis,Toothmark,FurYellow
sample_67	Crack,Toothmark
sample_68	Crack
sample_69	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_70	TonguePale
sample_71	Toothmark
sample_72	FurYellow
sample_73	TipSideRed,Toothmark
sample_74	TipSideRed
sample_75	TonguePale,TipSideRed,Spot,Ecchymosis,Crack,Toothmark
sample_76	Ecchymosis,Crack,Toothmark
sample_78	Toothmark
sample_79	Spot,Toothmark
sample_80	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_81	TonguePale,Spot,Ecchymosis,Toothmark
sample_82	TonguePale,TipSideRed,Spot,Crack,Toothmark
sample_83	TonguePale,TipSideRed,Ecchymosis,Toothmark,FurYellow
sample_84	TonguePale,FurYellow
sample_85	TonguePale,Ecchymosis,FurYellow
sample_86	TonguePale,Spot
sample_87	Spot,Toothmark
sample_88	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_89	TipSideRed,Spot,Toothmark
sample_90	Ecchymosis
sample_91	TonguePale,Ecchymosis
sample_92	Spot,FurYellow
sample_93	TonguePale,Ecchymosis
sample_94	TonguePale,Ecchymosis,Toothmark
sample_95	Toothmark
sample_96	Ecchymosis,Crack
sample_97	Toothmark,FurYellow
sample_98	TonguePale,Spot,Ecchymosis,Crack,Toothmark
sample_100	TonguePale,Spot
sample_101	TonguePale,Spot,Ecchymosis,FurYellow
sample_102	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_103	Toothmark
sample_104	TipSideRed,Toothmark,FurYellow
sample_105	Spot,Crack,Toothmark
sample_106	Crack
sample_107	Spot,Ecchymosis,Toothmark,FurYellow
sample_108	TonguePale,TipSideRed,Ecchymosis,Crack,FurYellow
sample_109	FurYellow
sample_110	TonguePale,Spot,Ecchymosis,Toothmark
sample_111	Crack,Toothmark
sample_112	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_114	Spot,Toothmark
sample_115	Spot,Ecchymosis
sample_116	TonguePale
sample_117	TonguePale,Spot,Toothmark,FurYellow
sample_118	TipSideRed,Spot
sample_119	TipSideRed,Spot,Toothmark
sample_120	TonguePale
sample_121	TonguePale,Ecchymosis,Toothmark,FurYellow
sample_122	Spot,Toothmark
sample_123	Spot,Toothmark
sample_124	Spot
sample_125	TonguePale,Ecchymosis,Crack,Toothmark
sample_126	TonguePale,TipSideRed,Spot,Ecchymosis,Toothmark,FurThick
sample_127	Ecchymosis,FurYellow
sample_128	Ecchymosis,Crack,FurThick
sample_129	TonguePale,TipSideRed,Ecchymosis,Crack,Toothmark
sample_130	Spot,Toothmark
sample_131	TipSideRed,Crack,Toothmark
sample_132	TonguePale,TipSideRed,Spot,Toothmark
sample_133	Spot
sample_134	Spot,Ecchymosis,Toothmark
sample_135	TonguePale,TipSideRed,Crack
sample_136	Ecchymosis
sample_137	TonguePale,TipSideRed,Crack
sample_138	Ecchymosis,FurYellow
sample_139	TonguePale,TipSideRed
sample_140	TonguePale,TipSideRed,Ecchymosis,Toothmark
sample_141	FurYellow
sample_142	Spot,Ecchymosis,Toothmark
sample_143	TipSideRed,Spot,Ecchymosis,FurYellow
sample_144	TonguePale,TipSideRed,Spot,Ecchymosis,FurYellow
sample_145	TipSideRed,Spot,Ecchymosis,Toothmark
sample_146	TonguePale,Toothmark,FurThick
sample_147	TonguePale,TipSideRed,Spot,Ecchymosis,FurThick
sample_148	TonguePale,Spot,Ecchymosis,Toothmark
sample_149	Spot,Toothmark
sample_150	TonguePale,TipSideRed,Ecchymosis,Crack,Toothmark
sample_151	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_152	Ecchymosis,Toothmark
sample_153	TonguePale,Spot,Ecchymosis,Toothmark,FurYellow
sample_154	TonguePale,Toothmark
sample_155	TipSideRed,Ecchymosis,FurYellow
sample_156	TonguePale,Spot,Ecchymosis,Toothmark
sample_157	TonguePale,TipSideRed,Spot,Ecchymosis,Crack
sample_158	TonguePale,TipSideRed,Crack,FurYellow
sample_159	TonguePale,TipSideRed,Ecchymosis
sample_160	Ecchymosis
sample_161	Toothmark,FurYellow
sample_162	TonguePale
sample_163	TipSideRed,Spot,Toothmark
sample_164	TonguePale,TipSideRed,Ecchymosis
sample_165	TonguePale,Spot,Ecchymosis
sample_166	TipSideRed,Spot,Toothmark,FurThick
sample_167	TonguePale,TipSideRed,Ecchymosis,Toothmark
sample_168	TonguePale,Spot,Ecchymosis,Toothmark,FurThick
sample_169	TipSideRed,Spot,Toothmark
sample_170	Toothmark
sample_171	TipSideRed,Ecchymosis,Toothmark
sample_172	TonguePale,TipSideRed,Ecchymosis,FurYellow
sample_173	TipSideRed,Ecchymosis,Toothmark
sample_174	TonguePale,TipSideRed,Ecchymosis,Crack,Toothmark,FurYellow
sample_175	Crack,Toothmark
sample_176	Ecchymosis,Toothmark
sample_177	TonguePale,TipSideRed,Spot,Ecchymosis,Crack,FurYellow
sample_178	TonguePale,Crack
sample_179	TonguePale,Ecchymosis,FurYellow
sample_180	TonguePale,TipSideRed,Toothmark
sample_181	TonguePale,Spot,Ecchymosis,Crack,Toothmark
sample_182	TonguePale,Spot,Ecchymosis
sample_183	TonguePale
sample_184	TonguePale,TipSideRed,Spot,Ecchymosis,FurYellow
sample_185	TonguePale,Spot,Ecchymosis,Crack
sample_186	TonguePale,Spot,Ecchymosis,Toothmark,FurThick
sample_188	TonguePale,Crack
sample_189	TonguePale,TipSideRed
sample_190	Spot
sample_192	TonguePale,FurYellow
sample_193	TipSideRed,Ecchymosis,Crack,Toothmark
sample_194	TonguePale,Ecchymosis,Crack,Toothmark,FurYellow
