image_path	error_labels
sample_0	RedTongue,ChubbyTongue,ThinTongue,Toothmark,FurWhite,FurYellow,SmoothCoating
sample_1	PurpleTongue,RedDot,Crack,Toothmark
sample_2	RedTongue,ChubbyTongue,ThinTongue,RedDot,Toothmark
sample_3	RedTongue,PurpleTongue,ThinTongue,RedDot,FurYellow
sample_4	PurpleTongue,ChubbyTongue,SmoothCoating
sample_5	RedTongue,PurpleTongue,ChubbyTongue,RedDot,Toothmark,FurWhite
sample_6	PeelingCoating,RedTongue,PurpleTongue,ChubbyTongue,Crack,Toothmark,FurWhite
sample_7	PurpleTongue,RedDot,Crack
sample_8	RedTongue,ChubbyTongue,RedDot,FurYellow,FurBlack
sample_9	PeelingCoating,RedTongue,Toothmark,FurWhite,SmoothCoating
sample_10	SmoothCoating
sample_11	RedTongue,PurpleTongue,ThinTongue,Crack,Toothmark,FurYellow,SmoothCoating
sample_12	ChubbyTongue,RedDot,Crack,Toothmark
sample_13	RedTongue,PurpleTongue,RedDot,Toothmark,FurWhite
sample_14	RedTongue,PurpleTongue,ChubbyTongue,ThinTongue,Crack,Toothmark,FurYellow
sample_15	PurpleTongue,RedDot,Crack,Toothmark,FurWhite,SmoothCoating
sample_16	RedDot,Toothmark,FurWhite
sample_17	PurpleTongue,ChubbyTongue,RedDot,Crack,Toothmark
sample_18	PurpleTongue,ChubbyTongue,Crack,FurWhite,SmoothCoating
sample_19	RedTongue,ChubbyTongue,ThinTongue,RedDot,Crack,Toothmark,FurYellow,SmoothCoating
sample_20	RedTongue,PurpleTongue,ChubbyTongue,FurYellow
sample_21	RedTongue,ThinTongue,RedDot,FurWhite,SmoothCoating
sample_22	RedTongue,ChubbyTongue,RedDot,Crack
sample_23	PeelingCoating,RedTongue,RedDot,Crack,Toothmark,FurWhite
sample_24	PurpleTongue,Crack,Toothmark
sample_25	PeelingCoating,Crack,FurWhite,FurBlack,SmoothCoating
sample_26	ChubbyTongue,FurWhite
sample_27	PurpleTongue,ChubbyTongue,RedDot
sample_28	RedTongue,ChubbyTongue,Crack,Toothmark,FurYellow,SmoothCoating
sample_29	RedTongue,Toothmark
sample_30	ChubbyTongue,RedDot,Crack
sample_31	PurpleTongue,ThinTongue,RedDot,Toothmark,FurYellow,SmoothCoating
sample_32	ChubbyTongue
sample_33	RedTongue,ChubbyTongue,RedDot,Crack,Toothmark,SmoothCoating
sample_34	RedTongue,PurpleTongue,RedDot,Crack,FurWhite,FurYellow,SmoothCoating
sample_35	ThinTongue,Toothmark,FurBlack,SmoothCoating
sample_36	ChubbyTongue,RedDot
sample_37	RedTongue,ChubbyTongue,Crack,Toothmark,FurYellow,FurBlack
sample_38	ChubbyTongue,RedDot,Crack
sample_39	RedDot,Toothmark,FurWhite,FurYellow,SmoothCoating
sample_40	RedTongue,ChubbyTongue,RedDot,Crack,Toothmark,SmoothCoating
sample_41	Crack,SmoothCoating
sample_42	PeelingCoating,RedTongue,ChubbyTongue,RedDot,Crack,Toothmark
sample_43	RedTongue,PurpleTongue,RedDot,FurYellow
sample_44	ChubbyTongue,RedDot,Toothmark
sample_45	ThinTongue,Crack,SmoothCoating
sample_46	PurpleTongue,ChubbyTongue,RedDot,Crack
sample_47	PurpleTongue,ChubbyTongue,Crack,Toothmark,FurYellow,SmoothCoating
sample_48	ThinTongue,RedDot,Crack,Toothmark
